Sample,90_min_after_cold_stress,90_min_after_oxy_stress
eco_gcs1_t02762,8.8599E-05,0.000307948
eco_gcs1_t02771,0.002572028,0.00542197
eco_gcs1_t10104,0.001160533,0.000715949
eco_gcs1_t04675,8.56298E-05,0.000115404
eco_gcs1_t10890,0.001168414,0.000857998
eco_gcs1_t09612,0.001983916,0.004912758
eco_gcs1_t01001,0.005225739,0.005141291
eco_gcs1_t01738,5.77627E-05,6.72232E-05
eco_gcs1_t03710,0.003957963,0.00055625
eco_gcs1_t05182,0.009814512,0.006728314
eco_gcs1_t01638,0.0001612,0.00036603
eco_gcs1_t01424,7.90513E-05,0.000261443
eco_gcs1_t00726,9.36145E-06,3.60736E-05
eco_gcs1_t03505,4.02343E-06,1.8843E-05
eco_gcs1_t01281,5.77236E-06,2.88442E-05
eco_gcs1_t03605,0.00040086,0.000274935
eco_gcs1_t09734,1.31961E-05,0.000443409
eco_gcs1_t11217,0.00015526,0.000679222
eco_gcs1_t00921,0.000105612,0.000399598
eco_gcs1_t10458,8.91727E-05,0.000208149
eco_gcs1_t07171,0.00062191,0.00033372
eco_gcs1_t03240,0.028290401,0.018257234
eco_gcs1_t09671,0.000104259,0.000363479
eco_gcs1_t01986,3.31294E-05,4.00165E-05
eco_gcs1_t06305,0.000295831,0.000388821
eco_gcs1_t07143,9.8785E-05,0.000273178
eco_gcs1_t03742,0.000260988,0.000333353
eco_gcs1_t05819,0.004327905,0.000438214
eco_gcs1_t04004,7.01837E-06,7.51522E-05
eco_gcs1_t03670,1.91443E-05,0.000150794
eco_gcs1_t05705,2.94695E-05,0.000150878
eco_gcs1_t02177,0.004265692,0.004439305
eco_gcs1_t03658,8.26099E-06,3.61044E-05
eco_gcs1_t07402,5.70932E-06,1.12509E-05
eco_gcs1_t11482,5.66433E-05,0.000371112
eco_gcs1_t05351,0.000534932,0.000688425
eco_gcs1_t10210,5.87842E-05,0.000369361
eco_gcs1_t11261,9.9459E-06,7.87126E-05
eco_gcs1_t06014,3.55318E-05,0.000178663
eco_gcs1_t04766,2.79897E-05,1.90636E-05
eco_gcs1_t03334,4.57072E-05,0.000161904
eco_gcs1_t01322,2.29741E-05,0.000809794
eco_gcs1_t08621,0.002081262,0.0044683
eco_gcs1_t03728,0.000122286,0.000246133
eco_gcs1_t05055,1.60919E-05,8.12463E-05
eco_gcs1_t07238,3.72552E-05,0.00030555
eco_gcs1_t02533,1.85091E-05,8.50764E-05
eco_gcs1_t05046,0.00025944,0.000224419
eco_gcs1_t02620,8.53673E-06,1.51977E-05
eco_gcs1_t06729,0.001791146,0.017684096
eco_gcs1_t02230,3.0483E-05,0.000162721
eco_gcs1_t00271,0.001158205,0.00834242
eco_gcs1_t08989,0.000141685,0.000471062
eco_gcs1_t04252,9.98196E-05,0.000281294
eco_gcs1_t09659,1.19898E-05,0.000331586
eco_gcs1_t02256,8.86172E-05,0.000116641
eco_gcs1_t03460,5.61268E-05,4.775E-05
eco_gcs1_t11294,3.78665E-05,0.000189298
eco_gcs1_t01467,0.000630449,0.001024717
eco_gcs1_t06564,1.29638E-05,0.000210506
eco_gcs1_t09700,1.89901E-05,0.000306798
eco_gcs1_t07854,1.65439E-05,2.38084E-05
eco_gcs1_t08519,2.29467E-05,6.45737E-05
eco_gcs1_t11096,7.97976E-06,0.000184052
eco_gcs1_t10722,0.000157796,0.000477183
eco_gcs1_t05243,0.001048411,0.00034573
eco_gcs1_t07367,1.29598E-05,2.5034E-05
eco_gcs1_t07577,6.79188E-05,0.000229405
eco_gcs1_t06552,3.83158E-05,1.28901E-05
eco_gcs1_t06368,3.90735E-05,6.07613E-05
eco_gcs1_t02398,0.000609541,0.000716557
eco_gcs1_t01498,0.000331615,0.000502843
eco_gcs1_t08320,1.6407E-05,0.000270317
eco_gcs1_t07874,0.003825276,0.007425735
eco_gcs1_t00068,9.92269E-05,0.000114044
eco_gcs1_t06064,8.26112E-05,0.000285205
eco_gcs1_t01439,5.56528E-05,2.68451E-05
eco_gcs1_t02205,0.001437066,0.001734311
eco_gcs1_t08250,6.47382E-06,0.000231011
eco_gcs1_t05269,0.000139912,7.45779E-05
eco_gcs1_t09105,3.89837E-05,0.000446236
eco_gcs1_t05494,0.00095254,0.001818209
eco_gcs1_t08492,7.67637E-06,4.29736E-05
eco_gcs1_t04416,0.000149804,0.000267093
eco_gcs1_t09837,1.48976E-05,5.9637E-05
eco_gcs1_t03178,3.10889E-05,0.000109812
eco_gcs1_t02820,9.88136E-05,0.000174342
eco_gcs1_t00401,0.000782887,0.000524168
eco_gcs1_t02703,0.000244051,0.001120548
eco_gcs1_t07961,0.000750529,0.000342947
eco_gcs1_t08735,0.063184476,0.037979013
eco_gcs1_t11985,3.32793E-05,0.000417283
eco_gcs1_t05644,0.000636867,0.005478206
eco_gcs1_t08485,0.001190612,0.0018765
eco_gcs1_t11535,6.51328E-05,0.000620639
eco_gcs1_t04731,8.5051E-06,2.29722E-05
eco_gcs1_t11736,0.001523737,0.001200476
eco_gcs1_t02974,0.000122504,7.04063E-06
eco_gcs1_t04596,0.064218394,0.055555442
eco_gcs1_t01218,1.60682E-05,0.000143016
eco_gcs1_t05687,8.12129E-06,1.67785E-05
eco_gcs1_t11611,0.000742389,0.000449518
eco_gcs1_t09204,4.25418E-05,8.50117E-06
eco_gcs1_t03692,0.000279177,0.000467341
eco_gcs1_t09968,0.005154799,0.008089761
eco_gcs1_t06092,6.17706E-05,0.000652937
eco_gcs1_t06575,0.001112306,0.00230842
eco_gcs1_t03358,0.003005115,0.003827022
eco_gcs1_t04562,0.003797616,0.006476591
eco_gcs1_t07908,0.000353581,0.001420381
eco_gcs1_t00584,0.000255068,0.000837648
eco_gcs1_t01988,2.15052E-05,0.000354139
eco_gcs1_t07299,0.003998785,0.004305186
eco_gcs1_t02274,0.001980666,0.0075266
eco_gcs1_t11196,0.000141513,0.000162978
eco_gcs1_t09133,7.5565E-06,1.43382E-05
eco_gcs1_t05507,0.001839321,0.002389498
eco_gcs1_t11794,0.000100319,0.00022095
eco_gcs1_t07245,0.000126456,0.000325982
eco_gcs1_t10858,0.000127295,0.000510664
eco_gcs1_t08685,0.00204722,0.001785255
eco_gcs1_t12121,0.000112887,0.000404468
eco_gcs1_t02718,0.001498441,0.001670921
eco_gcs1_t03261,2.32031E-05,8.90035E-05
eco_gcs1_t09821,7.40156E-06,0.000111533
eco_gcs1_t08436,0.002557785,0.000752637
eco_gcs1_t04696,2.43228E-05,0.000250015
eco_gcs1_t03852,2.65327E-05,0.00013196
eco_gcs1_t00208,0.005184101,0.002687817
eco_gcs1_t06149,4.96172E-06,1.04657E-05
eco_gcs1_t06311,5.7687E-05,0.000255289
eco_gcs1_t04849,2.16061E-05,8.91473E-05
eco_gcs1_t08128,1.6286E-05,4.13739E-05
eco_gcs1_t06327,0.000128774,0.000354234
eco_gcs1_t09491,9.05648E-05,0.000259547
eco_gcs1_t03562,0.001838463,0.000310177
eco_gcs1_t05814,0.000472378,0.001962843
eco_gcs1_t06576,0.000632724,0.00103324
eco_gcs1_t01566,0.000137849,0.000300088
eco_gcs1_t07003,7.23508E-05,5.0443E-05
eco_gcs1_t11279,9.89958E-05,0.000446519
eco_gcs1_t03388,1.66938E-05,0.000131095
eco_gcs1_t07827,0.001266348,0.001520656
eco_gcs1_t03021,0.000128236,0.002620114
eco_gcs1_t07284,7.69178E-05,9.3714E-05
eco_gcs1_t07045,0.001834817,0.001186095
eco_gcs1_t06409,0.000170356,6.63853E-05
eco_gcs1_t10218,0.000554616,0.000415411
eco_gcs1_t08218,7.86171E-05,0.000271709
eco_gcs1_t04821,3.55417E-05,9.64743E-05
eco_gcs1_t04601,0.013761258,0.035071789
eco_gcs1_t04612,0.000153055,0.000208861
eco_gcs1_t03493,6.65419E-06,0.000324439
eco_gcs1_t10267,0.000488441,0.000749828
eco_gcs1_t08334,3.93317E-05,0.000143711
eco_gcs1_t05402,2.45403E-05,0.000860238
eco_gcs1_t01256,0.000126822,0.000440617
eco_gcs1_t06291,3.84636E-05,0.000158091
eco_gcs1_t01972,0.004700038,0.000996991
eco_gcs1_t02948,2.285E-05,0.000168385
eco_gcs1_t00651,0.000121846,0.000933171
eco_gcs1_t10649,0.000104966,0.000507545
eco_gcs1_t01596,1.91717E-05,4.60149E-05
eco_gcs1_t02953,1.61973E-05,1.30721E-05
eco_gcs1_t06077,5.54162E-06,0.000122692
eco_gcs1_t00159,0.004644835,0.004081105
eco_gcs1_t04398,2.16498E-05,0.000104144
eco_gcs1_t03797,0.000143016,0.000146946
eco_gcs1_t05385,0.001223402,0.001114205
eco_gcs1_t03802,4.33621E-05,0.00013114
eco_gcs1_t08635,4.4614E-05,2.82111E-05
eco_gcs1_t04593,0.000190567,0.00065286
eco_gcs1_t03151,0.002024193,0.000469438
eco_gcs1_t01626,0.000600744,0.000726397
eco_gcs1_t02448,0.000338177,0.000615824
eco_gcs1_t04858,0.000131316,0.000251541
eco_gcs1_t06782,5.80219E-05,0.000221384
eco_gcs1_t12147,0.000126816,0.000702574
eco_gcs1_t06891,2.11176E-05,0.000102867
eco_gcs1_t05472,0.001246977,0.000764602
eco_gcs1_t06202,0.000583779,0.000924503
eco_gcs1_t06195,0.000501821,0.000983631
eco_gcs1_t05717,9.26822E-06,2.59618E-05
eco_gcs1_t11115,8.30295E-05,0.00012572
eco_gcs1_t07057,4.31695E-06,7.41249E-06
eco_gcs1_t07657,2.55172E-05,0.00022982
eco_gcs1_t02125,0.000226668,0.001259887
eco_gcs1_t08663,0.00026597,0.000423624
eco_gcs1_t01267,6.03588E-06,5.71104E-05
eco_gcs1_t06958,0.069156515,0.018801241
eco_gcs1_t04478,1.10962E-05,0.000114298
eco_gcs1_t03810,7.1685E-05,0.000640115
eco_gcs1_t04363,6.49067E-05,0.000200092
eco_gcs1_t10777,3.0908E-05,0.000499271
eco_gcs1_t01152,0.001066991,0.000847022
eco_gcs1_t07537,0.000626955,0.000828179
eco_gcs1_t08233,9.37733E-05,0.000341059
eco_gcs1_t12082,0.004206125,0.002997266
eco_gcs1_t11103,4.48546E-06,0.000199602
eco_gcs1_t04894,0.000244489,0.00119472
eco_gcs1_t09844,4.60147E-05,0.000609622
eco_gcs1_t11810,0.000117349,0.00037352
eco_gcs1_t04555,0.000194887,0.00016955
eco_gcs1_t12109,0.034719615,0.045525431
eco_gcs1_t07689,0.000277902,0.000621551
eco_gcs1_t09911,0.000250208,0.000394592
eco_gcs1_t11938,0.000189644,0.000654429
eco_gcs1_t00498,9.28544E-05,0.00014297
eco_gcs1_t07013,0.000470292,0.000704736
eco_gcs1_t11300,0.000373786,0.000440707
eco_gcs1_t04025,9.4646E-06,8.98991E-05
