Sample,ZLM,ZRM
dnaA,0.064671271,0.126267142
dnaN,0.039678739,0.050084494
recF,0.037291364,0.015777381
gyrA,0.201697227,0.220413312
rpsF,0.05144589,0.023297707
ssb,0.046332561,0.030199354
rplI,0.07586604,0.03595765
sdaA,0.015553006,0.014268943
hycD,0.033670037,0.029834269
hycE,0.008778819,0.017677138
gmhA,0.019915572,0.00981796
fbpC,0.251208625,0.069469008
msrA,0.03658563,0.013613101
sigG,0.045094278,0.019725552
ilvD,0.058901565,0.045135071
pckA,0.255406663,0.032715603
gabD1,0.039324573,0.017513177
sdhA,0.095623146,0.016787378
cobU,0.01134371,0.002070276
aac,0.044443097,0.007640563
tam,0.006507479,0.00511557
pcp,0.014348494,0.00653219
dcd,0.015203169,0.007242686
aspC,0.068001645,0.030640955
dnaK,0.389091854,0.141563572
grpE,0.390538826,0.041958608
hspR,0.161279848,0.014988184
purA,0.01763817,0.011199601
fba,0.07900158,0.041729063
dedA,0.046642565,0.005874161
pyrE,0.086933518,0.017513177
purT,0.012511852,0.007317015
metZ,0.033321066,0.017368892
pta,0.031827333,0.024292401
ackA,0.034992315,0.016660582
thiE,0.015011798,0.004575593
thiG,0.010000649,0.003357913
thiD,0.046213063,0.021612192
thiC,0.101927998,0.085342579
def,0.025714719,0.006525631
sodC,0.071906999,0.03794048
pssA,0.03472301,0.01533578
deoC,0.062418981,0.017441034
senX3,0.132914511,0.051710983
regX3,0.136457905,0.017766769
proC,0.023223432,0.018002873
hemA,0.207806378,0.182761402
hemC,0.269989825,0.084994983
fabH,0.033295088,0.014728033
menA,0.01251445,0.006549679
menE,0.066784145,0.037059465
menD,0.068256229,0.04298828
htpX,0.159011106,0.026585663
tcrA,0.002197736,0.000668959
galK,0.000705735,8.08872E-05
recD,0.016124521,0.00879266
recC,0.005126318,0.006173663
nusG,0.358015284,0.148675089
rplK,0.320330786,0.080797592
rplA,0.426430845,0.179781692
rplJ,0.058844414,0.028470117
rpoC,0.617053666,1
rpsG,0.223089213,0.054655716
tuf,0.722344944,0.40372125
rpsJ,1,0.17065018
rplC,0.876034897,0.257389704
rplD,0.792339099,0.216189687
rplW,0.644079406,0.090862586
rplV,0.340222978,0.1038111
rpsC,0.37886433,0.126605994
rplP,0.332965601,0.050117286
rpmC,0.499042712,0.040275279
rpsQ,0.407857468,0.085559007
atsA,0.06615288,0.027757435
rplN,0.181714978,0.059843429
rplX,0.245156625,0.042649428
rplE,0.243862923,0.073589884
rpsH,0.324514104,0.08427137
rplF,0.373034875,0.099218017
rplR,0.1767783,0.04558323
rpsE,0.383652934,0.137722522
rpmD,0.33416838,0.023682467
sppA,0.173102418,0.143242528
adk,0.128667114,0.027213085
mmsA,0.018236529,0.010701161
purD,0.012073691,0.008963179
purQ,0.048648064,0.021747732
purF,0.121331804,0.114409512
pip,0.015352976,0.03778745
mog,0.089020414,0.014970695
pgi,0.021696794,0.014819851
sucC,0.086639101,0.047100412
sucD,0.085738532,0.0292615
purN,0.018597623,0.006309203
purH,0.031035871,0.025437939
rpmF,0.049932241,0.012353884
galU,0.040548135,0.028111589
rimJ,0.034078757,0.012871999
arcA,0.024128331,0.015228659
ksgA,0.045217241,0.031605043
pth,0.013867036,0.006274225
prsA,0.062613816,0.051883689
glmU,0.056010218,0.046986732
mfd,0.025643712,0.039309004
eno,0.036752755,0.023675909
kdpE,0.006207867,0.001775147
kdpD,0.014721711,0.010926334
kdpA,0.008560604,0.005729876
kdpC,0.010611997,0.003917565
trcR,0.013237504,0.014179312
greA,0.331361029,0.136465491
glpX,0.039587816,0.023125001
xseA,0.076203754,0.032907983
metE,0.392244712,0.691231606
pimE,0.028335895,0.018960402
narG,0.211055355,0.448996233
narH,0.143181001,0.167602699
narJ,0.095188448,0.032234652
narI,0.051471868,0.030820218
fbiC,0.084291559,0.167967785
fadH,0.038948758,0.033417354
fdxC,0.279048341,0.083136763
sigI,0.005858896,0.002166466
dapE,0.024342216,0.017788631
glgA,0.046489295,0.042492026
glgC,0.023162817,0.012111222
sigE,0.667162557,0.024996338
htrA,0.236701665,0.10632079
mrp,0.098199294,0.068472128
mdh,0.05466023,0.030791798
cysD,0.025364016,0.012544078
lysA,0.058666032,0.027694036
thrA,0.08302903,0.029864875
thrC,0.099027991,0.038694699
rho,0.871049726,0.51894182
rpmE,0.842133657,0.110100628
prfA,0.271520793,0.0807648
rfe,0.032156387,0.025291467
atpE,0.227286385,0.034455771
atpF,0.31357565,0.07296902
atpH,0.272181499,0.16516078
atpA,0.2146559,0.15631128
atpG,0.213249627,0.085827903
atpD,0.319507285,0.178299488
atpC,0.252759509,0.029718403
murA,0.043793648,0.031395173
ogt,0.058388067,0.016267076
dinG,0.011332453,0.013317972
murI,0.041272054,0.017200559
pyrR,0.032825753,0.009842008
pyrC,0.02962267,0.005611824
carA,0.024165566,0.00538228
pyrF,0.040058017,0.009227702
gmk,0.186163271,0.065426833
dfp,0.243790185,0.077743553
metK,0.315170697,0.087915667
rpe,0.063228628,0.021362972
ribD,0.085086485,0.003395077
ribH,0.112617929,0.021476651
uvrC,0.039310718,0.026646875
gap,0.118241292,0.063953374
pgk,0.108029355,0.058826873
secG,0.075954365,0.014391367
opcA,0.054341567,0.022222125
tal,0.096668326,0.044186285
tkt,0.116905159,0.098599339
inhA,0.105934665,0.036613492
mutA,0.075032148,0.018446659
ansA,0.020355465,0.007859178
lspA,0.12532808,0.02250851
frdA,0.003625658,0.003510943
frdC,0.003616998,0.00030606
frdD,0.003521746,0.001058092
ilvA,0.08920226,0.076221998
treZ,0.012047713,0.009212399
bioA,0.011588769,0.008947876
bioD,0.035666876,0.006420697
nadA,0.465547594,0.067158257
nadC,0.387912454,0.073032418
hisD,0.145813435,0.030984179
hisH,0.080258048,0.00937636
hisA,0.087129219,0.01756783
hisF,0.104023553,0.017430104
hisI,0.055099257,0.007878853
trpE,0.0537129,0.034283066
trpC,0.248379625,0.139416781
trpA,0.218010521,0.072444346
cydC,0.032881172,0.003832305
cydD,0.061631849,0.005500331
cydA,0.082400364,0.019924491
polA,0.02867967,0.033858955
rpsA,0.353849285,0.276103072
coaE,0.186002208,0.088630536
uvrA,0.05440045,0.085460631
infC,0.541882969,0.259862229
rpmI,0.369491481,0.082769491
rplT,0.441053839,0.149422749
pheT,0.04241595,0.04685775
argC,0.021017903,0.002938174
argJ,0.046114346,0.005539682
argD,0.049739138,0.005025939
argF,0.04077068,0.004953796
argR,0.032797177,0.00247034
argG,0.067704631,0.015954458
argH,0.04456173,0.011805162
tlyA,0.043787587,0.015064699
ppnK,0.063999307,0.017285818
recN,0.038938367,0.02493294
pyrG,0.126271946,0.087157076
scpA,0.057509146,0.015963203
cmk,0.056315026,0.014065632
engA,0.060686251,0.0387734
gabD2,0.051345442,0.019375769
idi,0.021866517,0.01220304
malQ,0.018491113,0.022303012
mgtC,0.047240058,0.010897914
gcvH,0.074160154,0.037203751
garA,0.305145801,0.096260168
ureA,0.021274219,0.003266095
ureC,0.028755872,0.018785511
ureF,0.014945987,0.003425683
