,TRP16,TRP24,BPD16,BPD24
CTL0001,11337.07247,12637.37375,13172.34499,13000.12377
CTL0002,51430.38124,28932.26368,40672.54768,34920.73249
CTL0003,2467.77086,2560.483281,7536.085154,2800.42848
CTL0004,58988.53733,59608.36421,51973.72189,62488.44068
CTL0005,26452.14279,20453.37286,26990.97266,26538.54756
CTL0006,5024.569069,5393.113789,6498.534479,6070.756246
CTL0007,2922.284625,3402.426252,4278.448356,3836.711462
CTL0008,3559.797928,3844.689747,3579.786436,3476.716917
CTL0009,92947.04224,58754.58452,51192.55456,49682.59832
CTL0010,7301.113528,5077.708892,6076.972,4313.310626
CTL0011,46790.64973,29350.93294,31718.85091,23565.21128
CTL0012,4120.967484,5665.592889,3483.190138,4184.989371
CTL0013,3677.767981,3925.715663,1720.928894,2255.633496
CTL0014,11292.66471,12305.93531,14528.76854,12660.12325
CTL0015,2033.827079,2590.083697,2852.972014,2772.949358
CTL0016,4337.231087,4774.470658,8300.909967,9225.101232
CTL0017,1257.539888,1339.473132,2310.974101,1682.835159
CTL0018,20757.35237,32032.39532,26708.38385,35897.90862
CTL0019,4574.769469,4393.065934,4518.59151,4786.729955
CTL0020,36116.23908,26721.99111,30608.07654,32871.83649
CTL0021,841.8057036,806.0038968,1045.755289,766.5312206
CTL0022,4863.389821,5450.484586,5407.301538,5453.438514
CTL0023,4614.065964,4841.815362,5727.690277,6022.474634
CTL0024,24589.30466,22871.6247,19515.03903,19964.26367
CTL0025,5612.889303,4684.833076,5788.560545,5211.752227
CTL0026,3342.385514,2678.970484,3112.552539,2850.67983
CTL0027,5434.253198,5840.602555,5438.918548,4064.676503
CTL0028,16248.10087,11236.83581,16061.46128,9341.91021
CTL0029,3085.309781,4946.242064,2513.850098,2694.68115
CTL0030,4310.618426,8935.686098,3636.836421,5034.157545
CTL0031,6011.36656,5024.816266,5723.963601,7362.725394
CTL0032,8753.810784,6715.582306,8054.428367,5206.873843
CTL0033,37967.62207,29809.41614,28363.84529,20407.91538
CTL0034,11040.87664,8899.816126,14467.41606,8321.927171
CTL0035,10047.47869,7973.509974,10427.02684,7163.133196
CTL0036,13822.60573,10748.53115,13770.85877,10188.30191
CTL0037,6822.218315,5307.375895,5422.323752,4129.382891
CTL0038,11630.93324,9080.766927,11190.77524,8382.804277
CTL0039,11976.05759,6947.514564,13433.68445,7915.783943
CTL0040,15495.52805,12298.15661,15471.0618,10968.58532
CTL0041,11479.05889,8548.02171,9797.177591,6789.941811
CTL0042,10686.85507,8103.482072,11851.23443,6875.694246
CTL0043,66914.52274,59331.65034,78568.26249,46767.17807
CTL0044,3600.422363,2200.633922,2263.611545,817.5572281
CTL0045,2677.396508,2987.425532,2389.301767,1904.034204
CTL0046,31143.80592,23853.37894,37968.55647,43277.7826
CTL0047,57966.17168,57843.12285,66587.12153,79863.00353
CTL0048,28656.19058,30314.32872,27758.70685,33882.21008
CTL0049,130556.3132,122042.4512,89843.57788,107211.0475
CTL0050,408553.1834,355080.0193,590567.5167,347408.8566
CTL0051,17025.08834,14092.37384,28006.78085,21359.1454
CTL0052,2911.869722,2012.55882,4391.593113,2652.566044
CTL0053,28460.15429,26848.71257,16405.0909,21257.69238
CTL0054,9923.160399,8211.879333,5991.342542,8878.030165
CTL0055,10903.31358,12411.07652,8982.856577,10735.8748
CTL0056,204369.1201,123345.016,135123.6421,157174.072
CTL0057,27045.31505,22541.03175,23636.18226,25685.80211
CTL0058,8039.085541,7076.818151,10632.28938,15133.80701
CTL0059,32497.50914,19646.25407,20037.47641,21980.37
CTL0060,173957.9452,123187.3853,86594.32123,86221.83891
CTL0061,41637.63451,42178.10945,23553.11066,23237.38173
CTL0062,15377.06827,11513.8889,23320.59209,9274.356818
CTL0063,1573.640526,1231.710717,2392.563977,672.6677543
CTL0064,4246.633649,3945.162098,4984.198221,4471.598507
CTL0065,7823.717091,5415.810753,7087.536996,3868.676299
CTL0066,430.9845572,743.6205451,508.2617253,760.9336019
CTL0067,7034.026513,9309.576264,7965.646201,7243.696048
CTL0068,4093.505337,5758.024438,3800.585854,4126.283232
CTL0069,24716.22048,17350.58495,18845.63171,19715.56227
CTL0070,98628.5293,83788.67865,77868.75479,77717.99793
CTL0071,15713.61199,13340.76526,61391.12935,9956.927903
CTL0072,15195.29462,19905.00113,19424.5598,21488.9542
CTL0073,16475.19352,14941.37892,14698.86361,15999.37447
CTL0074,35945.58647,32266.41303,35045.1115,39149.93249
CTL0075,106597.5289,83499.63962,109628.8309,91901.25036
CTL0076,50808.14392,44223.62192,50722.36343,57509.20823
CTL0077,67815.30332,48136.04309,84749.51504,74497.97092
CTL0078,28007.8237,22549.66103,29637.23247,24015.10212
CTL0079,19627.27092,18155.64578,14477.79674,16619.07078
CTL0080,6923.404199,5409.666854,12556.37053,4300.960091
CTL0081,2582.394635,1788.193225,4757.63496,1639.010467
CTL0082,16992.00159,12614.36752,32993.94726,7664.785159
CTL0083,5910.159823,5708.323082,5336.192728,5901.872831
CTL0084,1918.04541,2823.716301,1946.482098,2341.661152
CTL0085,671.9550681,619.1279959,1714.697407,306.7027203
CTL0086,303.4190398,300.7458347,458.0199815,214.5387563
CTL0087,2032.952279,1501.162863,2198.193298,797.9171926
CTL0088,3877.264965,3310.418031,2604.166478,1598.46479
CTL0089,2378.311704,3179.224354,2191.737614,2347.17306
CTL0090,8640.378012,9486.462525,7045.041133,6266.640803
CTL0091,4392.656911,5379.810209,3482.101253,3650.01563
CTL0092,29639.23426,28282.93552,24570.89709,28125.33357
CTL0093,3423.491987,2761.808057,2126.43425,2205.269654
CTL0094,4107.487062,4228.380716,3066.455959,3088.22182
CTL0095,5392.281482,4959.72036,7914.609976,6819.966921
CTL0096,17605.63355,19079.41264,22437.71955,27747.51491
CTL0097,8818.236601,8114.274407,8891.350149,9268.451572
CTL0098,15118.54927,14519.44529,12966.16628,16160.50616
CTL0099,6172.433589,6823.69351,5213.040337,6600.853659
CTL0100,23929.15593,25874.3915,23717.68554,28750.34721
CTL0101,6096.732276,6820.922837,8507.358484,10320.73666
CTL0102,12186.08427,12454.22425,14899.68914,12902.4679
CTL0103,78458.6687,68763.19512,56973.83977,47034.09083
CTL0104,26588.31259,28806.86978,28545.88606,20621.86227
CTL0105,20484.60759,18970.76855,17722.28696,16914.39239
CTL0106,4510.514401,3776.227363,4004.023814,2458.807573
CTL0107,4923.257466,4802.193328,4461.324263,4123.563849
CTL0108,21450.84198,19928.57361,15070.84126,14214.25427
CTL0109,27689.27676,18583.44143,21475.71216,18217.70472
CTL0110,41132.58234,38297.22191,38849.37826,48738.20243
CTL0111,3219.852882,3984.486715,2763.486182,2694.786667
CTL0112,26865.62323,13564.67823,62214.3498,4354.986643
CTL0113,4675.883084,4095.7597,5200.097251,4222.674719
CTL0114,4333.10454,5168.36188,5897.30513,6817.449337
CTL0115,6115.018736,7954.768903,7288.41831,8945.233948
CTL0116,6608.332437,6481.224632,8662.810237,8577.383783
CTL0117,34119.52004,32893.91142,39561.58615,40451.43895
CTL0118,30387.48377,31745.50482,26462.64406,36614.65655
CTL0119,48830.43599,58825.88869,35047.29403,38928.02354
CTL0120,12469.89253,13778.26816,9931.520992,11886.14637
CTL0121,27492.03579,43193.51642,31637.53081,40005.29961
CTL0122,396.4493691,502.9337184,574.1754765,663.5578925
CTL0123,917.2302319,1214.42569,1046.547537,1159.220678
CTL0124,19302.05942,16207.37347,15705.63736,13822.20758
CTL0125,3563.359404,3491.88141,4342.145929,4856.605855
CTL0126,4048.325117,3102.552947,3836.388909,4035.713547
CTL0127,29776.66859,25746.83961,30206.95309,24685.74496
CTL0128,10812.14665,9486.51848,10745.97826,10027.60065
CTL0129,7409.13802,5703.104111,8469.694812,7085.211485
CTL0130,1367.203028,1184.909398,1780.711263,1519.699125
CTL0131,27924.93625,23715.93131,26753.04579,26753.80889
CTL0132,31832.26552,21855.39312,34389.26467,35775.83655
CTL0133,523.1513002,671.7975938,639.8900086,886.9468794
CTL0134,565.5160232,513.9975655,854.1753999,671.0050158
CTL0135,8262.988278,8314.603317,7336.5659,8079.666605
CTL0136,3299.313213,2889.583399,2654.080033,2646.405109
CTL0137,105496.9755,97355.24296,64658.64261,75561.53799
CTL0138,43386.3422,32300.13232,37158.59221,36046.34782
CTL0139,43078.9001,38021.76448,38091.12698,37996.00194
CTL0140,36312.6218,32217.36831,21805.19705,21567.62279
CTL0141,15115.51305,16794.06545,23991.06088,25785.33375
CTL0142,53054.36214,31215.10532,36267.93187,39497.0467
CTL0143,2059.547887,2286.203476,1599.185879,1896.562585
CTL0144,15977.99944,14617.4755,16328.57317,15214.42399
CTL0145,14931.3547,14125.54858,16032.27,15439.1294
CTL0146,20708.81062,17034.09206,21944.52625,19338.1815
CTL0147,1974.691152,2724.311836,2609.235947,3332.896258
CTL0148,66.79132109,115.5292762,76.87343435,82.2473892
CTL0149,4626.434261,4359.319194,5473.763975,4065.363368
CTL0150,9526.389751,11889.23493,10918.02815,12131.42672
CTL0151,38993.78751,38290.21432,19715.54967,35677.16874
CTL0152,38727.26279,22873.32485,40011.87829,20446.5065
CTL0153,33661.05744,31963.27078,31930.51953,33737.73966
CTL0153A,2139.937005,2149.58253,1996.779922,2080.097496
CTL0154,24890.68907,24088.12326,20000.63895,22002.43292
CTL0155,35599.96137,36875.15084,29424.22208,32328.80684
CTL0156,4621.768741,3867.307596,4165.540047,3722.111319
CTL0157,1435.983365,1162.786484,1683.069805,1515.108532
CTL0158,26883.3994,21293.0332,35493.34238,30510.81656
CTL0159,8965.519507,7146.470259,8904.97584,5480.136459
CTL0160,23961.88745,25268.6466,25680.59132,29607.54133
CTL0161,97.38583506,68.24945238,80.62531897,76.56759139
CTL0162,7423.997926,7577.771117,7404.399164,7946.17263
CTL0163,550.3182385,704.7911261,791.7697302,994.5604256
CTL0164,31234.69098,54497.06724,49105.3243,71114.93345
CTL0165,22690.44087,25824.25727,21905.34395,27612.91034
CTL0166,11382.08133,10302.9588,9944.451273,9025.452227
CTL0167,50627.51844,38111.81987,447918.8012,25591.14746
CTL0168,159109.8368,149994.602,115531.0331,134619.1425
CTL0169,14587.21589,16984.59461,12729.07788,14512.57503
CTL0170,116679.8419,164238.5442,93917.29873,104452.6091
CTL0171,743665.0757,532099.2801,449393.6668,701415.6481
CTL0172,14885.17298,19740.50857,10955.54763,14899.14614
CTL0173,4928.845121,5235.143052,2573.555636,2363.379636
CTL0174,3418.924413,2588.911638,4198.279719,2602.445905
CTL0175,6669.659645,8487.467094,11151.53702,11795.57169
CTL0176,18612.13319,15695.26601,15741.76728,18377.48406
CTL0177,37828.85061,35697.43602,38400.22552,44779.25685
CTL0178,5662.251112,6897.888277,6841.047585,9287.273198
CTL0179,7310.072383,9134.494627,6529.416582,7331.746089
CTL0181,8003.418695,7641.28228,6172.754968,6906.422316
