Sample,BPD16,BPD24
CTL0001,0.083327307,0.082711631
CTL0002,0.257291611,0.22217871
CTL0003,0.047672733,0.017817369
CTL0004,0.328782027,0.397574739
CTL0005,0.170742952,0.168848126
CTL0006,0.041109262,0.038624413
CTL0007,0.027065157,0.024410588
CTL0008,0.022645472,0.022120168
CTL0009,0.323840418,0.316099199
CTL0010,0.038442488,0.027442889
CTL0011,0.200651169,0.149930653
CTL0012,0.02203441,0.026626461
CTL0013,0.010886472,0.014351181
CTL0014,0.091907945,0.080548421
CTL0015,0.018047696,0.017642537
CTL0016,0.052510959,0.058693531
CTL0017,0.014619056,0.010706824
CTL0018,0.168955315,0.228395868
CTL0019,0.028584285,0.030454959
CTL0020,0.193624491,0.20914287
CTL0021,0.006615373,0.004876957
CTL0022,0.034206201,0.034696807
CTL0023,0.036232957,0.038317227
CTL0024,0.123450733,0.127020083
CTL0025,0.036618018,0.033159109
CTL0026,0.019689783,0.018137087
CTL0027,0.034406208,0.025860986
CTL0028,0.101603649,0.059436713
CTL0029,0.015902435,0.017144565
CTL0030,0.023006366,0.032029186
CTL0031,0.036209382,0.046844402
CTL0032,0.050951735,0.033128071
CTL0033,0.179427645,0.12984276
CTL0034,0.091519833,0.052947201
CTL0035,0.065960622,0.045574522
CTL0036,0.087113462,0.064821772
CTL0037,0.03430123,0.026272672
CTL0038,0.070792039,0.053334524
CTL0039,0.084980522,0.050363166
CTL0040,0.097868824,0.069786226
CTL0041,0.061976241,0.043200139
CTL0042,0.074970057,0.043745728
CTL0043,0.497017178,0.29755021
CTL0044,0.014319444,0.005201604
CTL0045,0.015114551,0.012114175
CTL0046,0.240186357,0.275349376
CTL0047,0.421225342,0.508118181
CTL0048,0.175599583,0.215571243
CTL0049,0.568344012,0.682116625
CTL0051,0.177168881,0.13589484
CTL0052,0.027780902,0.016876613
CTL0053,0.103777425,0.135249358
CTL0054,0.037900802,0.056485335
CTL0055,0.056824905,0.068305635
CTL0056,0.854782442,1
CTL0057,0.149520789,0.163422642
CTL0058,0.067259098,0.096286918
CTL0059,0.126755635,0.139847303
CTL0060,0.547789448,0.54857546
CTL0061,0.148995284,0.147844879
CTL0062,0.147524388,0.059006913
CTL0063,0.015135188,0.004279763
CTL0064,0.031529679,0.028449976
CTL0065,0.044835249,0.02461396
CTL0066,0.003215227,0.004841343
CTL0067,0.050390105,0.046087093
CTL0068,0.024042233,0.026252951
CTL0069,0.119216111,0.125437752
CTL0070,0.492592142,0.494470856
CTL0071,0.388355869,0.063349685
CTL0072,0.122878368,0.136720732
CTL0073,0.092983954,0.101793981
CTL0074,0.221692855,0.249086455
CTL0075,0.693504099,0.584709992
CTL0076,0.320866023,0.365895007
CTL0077,0.536119337,0.473983845
CTL0078,0.187483001,0.152793026
CTL0079,0.091585501,0.10573672
CTL0080,0.079430697,0.02736431
CTL0081,0.030096457,0.010427995
CTL0082,0.208717337,0.048766219
CTL0083,0.033756371,0.037549914
CTL0084,0.012313306,0.014898521
CTL0085,0.010847052,0.001951357
CTL0086,0.002897401,0.001364975
CTL0087,0.013905613,0.005076646
CTL0088,0.01647377,0.010170028
CTL0089,0.013864775,0.014933589
CTL0090,0.044566424,0.039870703
CTL0091,0.022027522,0.023222759
CTL0092,0.155433728,0.17894385
CTL0093,0.01345167,0.014030747
CTL0094,0.01939818,0.019648418
CTL0095,0.050067253,0.04339117
CTL0096,0.1419394,0.176540027
CTL0097,0.056246042,0.058969342
