Sample,BPD24,TRP24
CTL0001,0.082711631,0.076945237
CTL0002,0.22217871,0.176160011
CTL0003,0.017817369,0.015590027
CTL0004,0.397574739,0.362937729
CTL0005,0.168848126,0.124534548
CTL0006,0.038624413,0.032837077
CTL0007,0.024410588,0.020716369
CTL0008,0.022120168,0.023409181
CTL0009,0.316099199,0.357739316
CTL0010,0.027442889,0.03091667
CTL0011,0.149930653,0.178709164
CTL0012,0.026626461,0.034496122
CTL0013,0.014351181,0.023902524
CTL0014,0.080548421,0.074927206
CTL0015,0.017642537,0.015770255
CTL0016,0.058693531,0.029070342
CTL0017,0.010706824,0.008155656
CTL0018,0.228395868,0.195035797
CTL0019,0.030454959,0.026748081
CTL0020,0.20914287,0.162702314
CTL0021,0.004876957,0.00490752
CTL0022,0.034696807,0.033186391
CTL0023,0.038317227,0.029480384
CTL0024,0.127020083,0.139258569
CTL0025,0.033159109,0.028524565
CTL0026,0.018137087,0.01631146
CTL0027,0.025860986,0.035561704
CTL0028,0.059436713,0.068417775
CTL0029,0.017144565,0.030116207
CTL0030,0.032029186,0.054406754
CTL0031,0.046844402,0.030594623
CTL0032,0.033128071,0.040889198
CTL0033,0.12984276,0.181500733
CTL0034,0.052947201,0.054188353
CTL0035,0.045574522,0.048548348
CTL0036,0.064821772,0.065444632
CTL0037,0.026272672,0.032315045
CTL0038,0.053334524,0.055290108
CTL0039,0.050363166,0.042301365
CTL0040,0.069786226,0.074879844
CTL0041,0.043200139,0.05204638
CTL0042,0.043745728,0.04933971
CTL0043,0.29755021,0.3612529
CTL0044,0.005201604,0.01339901
CTL0045,0.012114175,0.018189552
CTL0046,0.275349376,0.145236181
CTL0047,0.508118181,0.352189695
CTL0048,0.215571243,0.184574997
CTL0049,0.682116625,0.74308045
CTL0051,0.13589484,0.085804303
CTL0052,0.016876613,0.012253876
CTL0053,0.135249358,0.163473883
CTL0054,0.056485335,0.049999708
CTL0055,0.068305635,0.07556738
CTL0056,1,0.751011382
CTL0057,0.163422642,0.137245687
CTL0058,0.096286918,0.043088656
CTL0059,0.139847303,0.11962024
CTL0060,0.54857546,0.750051615
CTL0061,0.147844879,0.256810054
CTL0062,0.059006913,0.07010467
CTL0063,0.004279763,0.007499523
CTL0064,0.028449976,0.024020927
CTL0065,0.02461396,0.032975273
CTL0066,0.004841343,0.004527686
CTL0067,0.046087093,0.056683261
CTL0068,0.026252951,0.035058911
CTL0069,0.125437752,0.105642589
CTL0070,0.494470856,0.510164524
CTL0071,0.063349685,0.081227981
CTL0072,0.136720732,0.121195674
CTL0073,0.101793981,0.090973644
CTL0074,0.249086455,0.196460661
CTL0075,0.584709992,0.50840465
CTL0076,0.365895007,0.269264576
CTL0077,0.473983845,0.293086153
CTL0078,0.152793026,0.137298228
CTL0079,0.10573672,0.110544366
CTL0080,0.02736431,0.032937864
CTL0081,0.010427995,0.010887781
CTL0082,0.048766219,0.076805159
CTL0083,0.037549914,0.034756294
CTL0084,0.014898521,0.017192775
CTL0085,0.001951357,0.003769688
CTL0086,0.001364975,0.001831153
CTL0087,0.005076646,0.009140137
CTL0088,0.010170028,0.020156158
CTL0089,0.014933589,0.019357358
CTL0090,0.039870703,0.057760269
CTL0091,0.023222759,0.032756076
CTL0092,0.17894385,0.172206443
CTL0093,0.014030747,0.016815834
CTL0094,0.019648418,0.025745362
CTL0095,0.04339117,0.030198273
CTL0096,0.176540027,0.11616891
CTL0097,0.058969342,0.049405421
CTL0098,0.102819161,0.088404615
CTL0099,0.04199709,0.041547455
CTL0100,0.18292042,0.15754153
CTL0101,0.065664372,0.041530585
CTL0102,0.082090307,0.075830094
CTL0103,0.299248408,0.418678791
CTL0104,0.13120397,0.175396524
CTL0105,0.107615666,0.115507408
CTL0106,0.01564385,0.022992333
CTL0107,0.026235649,0.029239137
CTL0108,0.090436381,0.1213392
CTL0109,0.115907824,0.113149088
CTL0110,0.310090601,0.233180476
CTL0111,0.017145237,0.024260363
CTL0112,0.027708047,0.08259132
CTL0113,0.02686623,0.024937871
CTL0114,0.043375152,0.031468629
CTL0115,0.056912911,0.048434239
CTL0116,0.054572511,0.039462263
CTL0117,0.257367124,0.200281314
CTL0118,0.232956085,0.193289005
CTL0119,0.247674588,0.358173466
CTL0120,0.075624091,0.083891806
CTL0121,0.25452862,0.262992568
CTL0122,0.004221803,0.003062215
CTL0123,0.007375394,0.007394279
CTL0124,0.087942034,0.098681911
CTL0125,0.030899536,0.021261035
CTL0126,0.025676713,0.018890529
CTL0127,0.157059906,0.156764904
CTL0128,0.063799331,0.05776061
CTL0129,0.045078755,0.034724517
CTL0130,0.009668892,0.007214563
CTL0131,0.170217699,0.144399303
CTL0132,0.2276192,0.133071035
CTL0133,0.005643086,0.004090377
CTL0134,0.004269184,0.003129579
CTL0135,0.051405849,0.050625165
CTL0136,0.016837415,0.01759382
CTL0137,0.480750655,0.592767328
CTL0138,0.229340294,0.196665968
CTL0139,0.241744719,0.231503297
CTL0140,0.137221251,0.196162043
CTL0141,0.164055899,0.102254106
CTL0142,0.251294925,0.190059559
CTL0143,0.012066638,0.013920018
CTL0144,0.096799833,0.089001492
CTL0145,0.098229493,0.086006294
CTL0146,0.123036715,0.103715557
CTL0147,0.021205128,0.01658753
CTL0148,0.000523289,0.000703424
CTL0149,0.025865356,0.026542607
CTL0150,0.077184656,0.072390041
CTL0151,0.226991439,0.233137809
CTL0152,0.130088292,0.139268921
CTL0153,0.214652068,0.194614918
CTL0153A,0.013234355,0.013088173
CTL0154,0.139987675,0.14666547
CTL0155,0.205687913,0.224521905
CTL0156,0.023681459,0.023546894
CTL0157,0.009639685,0.007079864
CTL0158,0.194121181,0.129646992
CTL0159,0.03486667,0.043512747
CTL0160,0.188374208,0.153853328
CTL0161,0.000487152,0.000415551
CTL0162,0.050556511,0.046138811
CTL0163,0.006327764,0.004291265
CTL0164,0.4524597,0.331816551
CTL0165,0.175683623,0.157236277
CTL0166,0.057423289,0.062731674
CTL0168,0.856497136,0.913272842
CTL0169,0.092334409,0.103414181
CTL0170,0.664566412,1
CTL0172,0.094793918,0.120194128
CTL0173,0.015036702,0.03187524
