Sample,TRP16,TRP24
CTL0001,0.05547351,0.076945237
CTL0002,0.251654366,0.176160011
CTL0003,0.012075067,0.015590027
CTL0004,0.288637233,0.362937729
CTL0005,0.129433169,0.124534548
CTL0006,0.024585755,0.032837077
CTL0007,0.014299052,0.020716369
CTL0008,0.017418473,0.023409181
CTL0009,0.454799836,0.357739316
CTL0010,0.035725131,0.03091667
CTL0011,0.228951662,0.178709164
CTL0012,0.020164335,0.034496122
CTL0013,0.017995713,0.023902524
CTL0014,0.055256218,0.074927206
CTL0015,0.009951734,0.015770255
CTL0016,0.021222536,0.029070342
CTL0017,0.006153277,0.008155656
CTL0018,0.101567949,0.195035797
CTL0019,0.022384837,0.026748081
CTL0020,0.176720627,0.162702314
CTL0021,0.004119045,0.00490752
CTL0022,0.023797087,0.033186391
CTL0023,0.022577119,0.029480384
CTL0024,0.120318102,0.139258569
CTL0025,0.027464469,0.028524565
CTL0026,0.01635465,0.01631146
CTL0027,0.026590383,0.035561704
CTL0028,0.079503698,0.068417775
CTL0029,0.015096751,0.030116207
CTL0030,0.021092318,0.054406754
CTL0031,0.029414261,0.030594623
CTL0032,0.042833334,0.040889198
CTL0033,0.185779643,0.181500733
CTL0034,0.054024192,0.054188353
CTL0035,0.04916339,0.048548348
CTL0036,0.067635491,0.065444632
CTL0037,0.033381845,0.032315045
CTL0038,0.056911402,0.055290108
CTL0039,0.058600133,0.042301365
CTL0040,0.075821279,0.074879844
CTL0041,0.056168265,0.05204638
CTL0042,0.052291927,0.04933971
CTL0043,0.327419929,0.3612529
CTL0044,0.017617252,0.01339901
CTL0045,0.013100788,0.018189552
CTL0046,0.152389979,0.145236181
CTL0047,0.283634688,0.352189695
CTL0048,0.140217811,0.184574997
CTL0049,0.638826028,0.74308045
CTL0051,0.083305581,0.085804303
CTL0052,0.014248091,0.012253876
CTL0053,0.139258584,0.163473883
CTL0054,0.048555087,0.049999708
CTL0055,0.053351082,0.07556738
CTL0056,1,0.751011382
CTL0057,0.132335624,0.137245687
CTL0058,0.039336107,0.043088656
CTL0059,0.159013794,0.11962024
CTL0060,0.851194863,0.750051615
CTL0061,0.203737407,0.256810054
CTL0062,0.075241642,0.07010467
CTL0063,0.007699992,0.007499523
CTL0064,0.020779233,0.024020927
CTL0065,0.038282286,0.032975273
CTL0066,0.002108854,0.004527686
CTL0067,0.034418245,0.056683261
CTL0068,0.02002996,0.035058911
CTL0069,0.120939115,0.105642589
CTL0070,0.482599961,0.510164524
CTL0071,0.076888387,0.081227981
CTL0072,0.074352205,0.121195674
CTL0073,0.080614887,0.090973644
CTL0074,0.175885606,0.196460661
CTL0075,0.521593129,0.50840465
CTL0076,0.248609692,0.269264576
CTL0077,0.331827545,0.293086153
CTL0078,0.137045282,0.137298228
CTL0079,0.096038339,0.110544366
CTL0080,0.033876958,0.032937864
CTL0081,0.012635934,0.010887781
CTL0082,0.083143684,0.076805159
CTL0083,0.028919045,0.034756294
CTL0084,0.009385202,0.017192775
CTL0085,0.003287948,0.003769688
CTL0086,0.001484662,0.001831153
CTL0087,0.009947453,0.009140137
CTL0088,0.018971873,0.020156158
CTL0089,0.011637334,0.019357358
CTL0090,0.042278295,0.057760269
CTL0091,0.021493741,0.032756076
CTL0092,0.145027949,0.172206443
CTL0093,0.016751513,0.016815834
CTL0094,0.020098374,0.025745362
CTL0095,0.026385011,0.030198273
CTL0096,0.086146251,0.11616891
CTL0097,0.043148576,0.049405421
CTL0098,0.073976681,0.088404615
CTL0099,0.030202379,0.041547455
CTL0100,0.117087924,0.15754153
CTL0101,0.029831964,0.041530585
CTL0102,0.059627816,0.075830094
CTL0103,0.383906672,0.418678791
CTL0104,0.130099462,0.175396524
CTL0105,0.10023338,0.115507408
