Sample,UTD24,BPD24
CTL0001,0.031967736,0.082711631
CTL0002,0.356176336,0.22217871
CTL0003,0.077113069,0.017817369
CTL0004,0.097733739,0.397574739
CTL0005,0.06549529,0.168848126
CTL0006,0.018954463,0.038624413
CTL0007,0.011174757,0.024410588
CTL0008,0.012610345,0.022120168
CTL0009,0.159765277,0.316099199
CTL0010,0.037859513,0.027442889
CTL0011,0.157503263,0.149930653
CTL0012,0.00636645,0.026626461
CTL0013,0.002838908,0.014351181
CTL0014,0.025933854,0.080548421
CTL0015,0.002763157,0.017642537
CTL0016,0.020948733,0.058693531
CTL0017,0.005898274,0.010706824
CTL0018,0.075424609,0.228395868
CTL0019,0.012934071,0.030454959
CTL0020,0.098890123,0.20914287
CTL0021,0.023273536,0.004876957
CTL0022,0.009872995,0.034696807
CTL0023,0.012756324,0.038317227
CTL0024,0.0553412,0.127020083
CTL0025,0.04561933,0.033159109
CTL0026,0.025053286,0.018137087
CTL0027,0.045212724,0.025860986
CTL0028,0.229252835,0.059436713
CTL0029,0.006531756,0.017144565
CTL0030,0.008857695,0.032029186
CTL0031,0.021072265,0.046844402
CTL0032,0.072897137,0.033128071
CTL0033,0.330639492,0.12984276
CTL0034,0.19290973,0.052947201
CTL0035,0.128158521,0.045574522
CTL0036,0.217586765,0.064821772
CTL0037,0.079248972,0.026272672
CTL0038,0.178077605,0.053334524
CTL0039,0.117466638,0.050363166
CTL0040,0.278283993,0.069786226
CTL0041,0.134974978,0.043200139
CTL0042,0.110293596,0.043745728
CTL0043,0.715717959,0.29755021
CTL0044,0.051325074,0.005201604
CTL0045,0.020332747,0.012114175
CTL0046,0.068996963,0.275349376
CTL0047,0.14810548,0.508118181
CTL0048,0.067987812,0.215571243
CTL0049,0.189763757,0.682116625
CTL0051,0.106183856,0.13589484
CTL0052,0.054386523,0.016876613
CTL0053,0.029714374,0.135249358
CTL0054,0.011181006,0.056485335
CTL0055,0.014749925,0.068305635
CTL0056,0.162829898,1
CTL0057,0.057854624,0.163422642
CTL0058,0.0313,0.096286918
CTL0059,0.107206616,0.139847303
CTL0060,0.185133192,0.54857546
CTL0061,0.079629458,0.147844879
CTL0062,0.180522755,0.059006913
