Sample,UTD24,TRP24
CTL0001,0.031967736,0.076945237
CTL0002,0.356176336,0.176160011
CTL0003,0.077113069,0.015590027
CTL0004,0.097733739,0.362937729
CTL0005,0.06549529,0.124534548
CTL0006,0.018954463,0.032837077
CTL0007,0.011174757,0.020716369
CTL0008,0.012610345,0.023409181
CTL0009,0.159765277,0.357739316
CTL0010,0.037859513,0.03091667
CTL0011,0.157503263,0.178709164
CTL0012,0.00636645,0.034496122
CTL0013,0.002838908,0.023902524
CTL0014,0.025933854,0.074927206
CTL0015,0.002763157,0.015770255
CTL0016,0.020948733,0.029070342
CTL0017,0.005898274,0.008155656
CTL0018,0.075424609,0.195035797
CTL0019,0.012934071,0.026748081
CTL0020,0.098890123,0.162702314
CTL0021,0.023273536,0.00490752
CTL0022,0.009872995,0.033186391
CTL0023,0.012756324,0.029480384
CTL0024,0.0553412,0.139258569
CTL0025,0.04561933,0.028524565
CTL0026,0.025053286,0.01631146
CTL0027,0.045212724,0.035561704
CTL0028,0.229252835,0.068417775
CTL0029,0.006531756,0.030116207
CTL0030,0.008857695,0.054406754
CTL0031,0.021072265,0.030594623
CTL0032,0.072897137,0.040889198
CTL0033,0.330639492,0.181500733
CTL0034,0.19290973,0.054188353
CTL0035,0.128158521,0.048548348
CTL0036,0.217586765,0.065444632
CTL0037,0.079248972,0.032315045
CTL0038,0.178077605,0.055290108
CTL0039,0.117466638,0.042301365
CTL0040,0.278283993,0.074879844
CTL0041,0.134974978,0.05204638
CTL0042,0.110293596,0.04933971
CTL0043,0.715717959,0.3612529
CTL0044,0.051325074,0.01339901
CTL0045,0.020332747,0.018189552
CTL0046,0.068996963,0.145236181
CTL0047,0.14810548,0.352189695
CTL0048,0.067987812,0.184574997
CTL0049,0.189763757,0.74308045
CTL0051,0.106183856,0.085804303
CTL0052,0.054386523,0.012253876
CTL0053,0.029714374,0.163473883
CTL0054,0.011181006,0.049999708
CTL0055,0.014749925,0.07556738
CTL0056,0.162829898,0.751011382
CTL0057,0.057854624,0.137245687
CTL0058,0.0313,0.043088656
CTL0059,0.107206616,0.11962024
CTL0060,0.185133192,0.750051615
CTL0061,0.079629458,0.256810054
CTL0062,0.180522755,0.07010467
CTL0063,0.152321503,0.007499523
CTL0064,0.098428134,0.024020927
CTL0065,0.06395315,0.032975273
CTL0066,0.000532091,0.004527686
CTL0067,0.015494762,0.056683261
CTL0068,0.011465917,0.035058911
CTL0069,0.096404295,0.105642589
CTL0070,0.328770649,0.510164524
CTL0071,0.126088032,0.081227981
CTL0072,0.030509371,0.121195674
CTL0073,0.048304377,0.090973644
CTL0074,0.10614966,0.196460661
CTL0075,0.270350384,0.50840465
CTL0076,0.093336609,0.269264576
CTL0077,0.449058386,0.293086153
CTL0078,0.181726296,0.137298228
CTL0079,0.111458117,0.110544366
CTL0080,0.262103291,0.032937864
CTL0081,0.140060326,0.010887781
CTL0082,0.24979171,0.076805159
CTL0083,0.020029918,0.034756294
CTL0084,0.00805221,0.017192775
CTL0085,0.011831407,0.003769688
CTL0086,0.007754303,0.001831153
CTL0087,0.032259372,0.009140137
CTL0088,0.030566611,0.020156158
CTL0089,0.00393971,0.019357358
CTL0090,0.019553623,0.057760269
CTL0091,0.010935252,0.032756076
CTL0092,0.054515582,0.172206443
CTL0093,0.009165954,0.016815834
CTL0094,0.014728795,0.025745362
CTL0095,0.03190197,0.030198273
CTL0096,0.076678002,0.11616891
CTL0097,0.033022326,0.049405421
CTL0098,0.028852822,0.088404615
CTL0099,0.012836123,0.041547455
CTL0100,0.04183672,0.15754153
CTL0101,0.01929538,0.041530585
CTL0102,0.076845887,0.075830094
CTL0103,0.313778487,0.418678791
CTL0104,0.131891991,0.175396524
CTL0105,0.091693811,0.115507408
CTL0106,0.033565779,0.022992333
CTL0107,0.021377153,0.029239137
CTL0108,0.095253199,0.1213392
CTL0109,0.09259531,0.113149088
CTL0110,0.060870696,0.233180476
CTL0111,0.007734028,0.024260363
CTL0112,0.609365241,0.08259132
CTL0113,0.031275051,0.024937871
CTL0114,0.010510393,0.031468629
CTL0115,0.01581799,0.048434239
CTL0116,0.021208476,0.039462263
CTL0117,0.06216048,0.200281314
CTL0118,0.052901968,0.193289005
CTL0119,0.050353675,0.358173466
CTL0120,0.029259504,0.083891806
CTL0121,0.121718874,0.262992568
CTL0122,0.001798669,0.003062215
CTL0123,0.003483497,0.007394279
CTL0124,0.081176719,0.098681911
